wuiClass,year,nh,pv
1,1975,691,295252532
1,1985,712,301224692
1,1995,685,305569402
1,2005,652,306994142
1,2015,665,313137922
1,2019,641,309277922
2,1975,3176,6184872093.2
2,1985,3158,5993943893.2
2,1995,3111,5932708353.2
2,2005,3131,5934187353.2
2,2015,2997,5866708653.2
2,2019,3024,5871344853.2
3,1975,12527,14441752076
3,1985,12517,14626396916
3,1995,11958,13262716606
3,2005,11737,13094040606
3,2015,11971,13214360406
3,2019,11981,13219184106
4,1975,19805,13598134230
4,1985,19443,12228645630
4,1995,19316,13002405830
4,2005,18241,11810889230
4,2015,17820,11116093930
4,2019,17840,11129333530
5,1975,44225,36346175e3
5,1985,43997,36148721800
5,1995,41288,30310855800
5,2005,39509,26754658800
5,2015,40621,27128689800
5,2019,40249,26582014800
6,1975,153126,115519410500
6,1985,163814,118671756500
6,1995,163805,109383043e3
6,2005,163634,96944117300
6,2015,161903,99632547300
6,2019,163196,100937624300
7,1975,354308,24975869e4
7,1985,465594,34065332e4
7,1995,592716,46339618e4
7,2005,683248,57914306e4
7,2015,717338,62147035e4
7,2019,720056,6263866e5
